page,name,price,product_url,image_url
1,Стул детский Филлис Мини Оливковый,2990,https://www.divan.ru/product/stul-detskij-fillis-mini-olive,https://cdn0.divan.ru/img/v1/lv8NzBg8KprKPLiCd4E8l3mUJJlkoQkOz3X-qcrSj9k/t:0::0:0/pd:100:100:100:100/rs:fit:224:224:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU1MTMwODUucG5n.jpg
1,Комод Изи 80x91 Желтый/Розовый,19 990,https://www.divan.ru/product/komod-izi-80x91-jeltyj-rozovyj,https://cdn0.divan.ru/img/v1/QVmbEt6YzhCJyDujrnMCewpmOX7SR3bTQ5km3F8ItCY/t:0::0:0/pd:50:30:50:30/rs:fit:364:324:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU5NjU1MzgucG5n.jpg
1,Плед Ска Бежевый-Лиловый 150x200,3990,https://www.divan.ru/product/pled-ska-beige-lilak-150x200,https://cdn0.divan.ru/img/v1/B1DaPr4Rqb0yJmwp6Z5UruTiCQvod6tzr7Dq7Ia82cU/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwMTcwNDIucG5n.jpg
1,Комод Изи 158x91 Графитовый,28 990,https://www.divan.ru/product/komod-izi-158x91-grafitovyj,https://cdn0.divan.ru/img/v1/XLPe2aZx18kL6PxwPxsGiqQTUSy94zwNIhVIZitLrFE/t:0::0:0/pd:50:30:50:30/rs:fit:364:324:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwMjY1MzcucG5n.jpg
1,,,https://www.divan.ru/category/promo-s-vygodoy,
1,Стол детский Виоли 81x52 Белый,11 990,https://www.divan.ru/product/stol-detskij-violi-2-white,https://cdn0.divan.ru/img/v1/iBzmFBufdAOlCtYCI5FEmwGH7pPz89SI_4rsSqckwP4/t:0::0:0/pd:55:55:55:55/rs:fit:314:314:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUzMDM3NzAucG5n.jpg
1,Письменный стол Изи 120x67 Графитовый,17 990,https://www.divan.ru/product/pismennyj-stol-izi-120x67-grafitovyj,https://cdn0.divan.ru/img/v1/u0V5YBCyON70ffa2gRFqfwyciNmzZ0PqxArF8lkDTb0/t:0::0:0/pd:55:55:55:55/rs:fit:314:314:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwODI2NDgucG5n.jpg
1,Распашной шкаф Луми 4-181x242 Светло-бежевый,67 990,https://www.divan.ru/product/shkaf-detskij-lumi-4-paloma,https://cdn0.divan.ru/img/v1/xck_qdP1SaLy_7oyTUZxMEk4n-npzN3KKfWAEbBEyEU/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU2OTMxNjkucG5n.jpg
1,Стеллаж Энзо 50x250 Терракотовый,15 990,https://www.divan.ru/product/stellaj-enzo-50x250-terrakotovyj,https://cdn0.divan.ru/img/v1/hOCJdDf5FBeuag3VFLr7W4DKp2XUrMfsY7az2GS2PQk/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwNTIyNjQucG5n.jpg
1,Подушка Файв Молочный-Графитовый 45x45,2490,https://www.divan.ru/product/podushka-fajv-molochnyj-grafitovyj-45x45,https://cdn0.divan.ru/img/v1/wV1pLWlLmlHSvkYW5jlX6GaEwHo3tYmjL6TAfpkPuJI/t:0::0:0/pd:75:75:75:75/rs:fit:274:274:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwMTY5ODYucG5n.jpg
1,Ковер Ска Молочный-Графитовый 160x230,12 990,https://www.divan.ru/product/kover-ska-molochnyj-grafitovyj-160x230,https://cdn0.divan.ru/img/v1/X39Kpglnvq6BzTYaa8buR86yH-J7UfOL7SznXXlBEtI/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwNDExMTAucG5n.jpg
1,Комод Изи 158x91 Графитовый/Оранжевый,28 990,https://www.divan.ru/product/komod-izi-158x91-grafitovyj-oranjevyj,https://cdn0.divan.ru/img/v1/2XfMxCdcUndMT4V6be8kDnRDFGFm5rfISYFM06rA99I/t:0::0:0/pd:50:30:50:30/rs:fit:364:324:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU5NjU5MDQucG5n.jpg
1,Кровать двухъярусная Эльви 80 Рогожка Оливковый,76 990,https://www.divan.ru/product/krovat-dvuhyarusnaya-elvi-80-textile-olive,https://cdn0.divan.ru/img/v1/MUGa9yDDH56wwVwjGQaMAtFKAysC2vqQd5WpB09Ty04/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU5MTM4NzQucG5n.jpg
1,,,https://www.divan.ru/landing/izi,
1,Стеллаж детский Финни 155x78 Серо-зеленый,25 990,https://www.divan.ru/product/stellaj-detskij-finni-2-greenish,https://cdn0.divan.ru/img/v1/X_dyJeA6jFlTH8-OL8-GwFdicl0RqqguLN_6Lv-Fv3g/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU3ODAyMjUucG5n.jpg
1,Подушка Файв Зеленый-Розовый 45x45,2490,https://www.divan.ru/product/podushka-fajv-zelenyj-rozovyj-45x45,https://cdn0.divan.ru/img/v1/n0gz5xM0x7_s3B8m-nMacedGR6hYcA7zveQyEsrf-6s/t:0::0:0/pd:75:75:75:75/rs:fit:274:274:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwMTcwMDQucG5n.jpg
